Charge,Address,City,District
Larceny,3900 block Eastbourne Dr,Syracuse,DeWitt
Larceny,100 block W Matson Av,Syracuse,Syracuse
Larceny,300 block Shonnard St,Syracuse,Syracuse
Larceny,100 block Marshall St,Syracuse,Syracuse
Robbery,400 block Euclid Av,Syracuse,Syracuse
Vehicle theft,600 block S Salina St,Syracuse,Syracuse
Aggravated assault,300 block Wadsworth St,Syracuse,Syracuse
Aggravated assault,300 block Apple St,Syracuse,Syracuse
Aggravated assault,300 block Douglas St,Syracuse,Syracuse
Aggravated assault,2700 block James St,Syracuse,Syracuse
Burglary,600 block Idlewood Blvd,Baldwinsville,Onondaga County
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,5800 block State Rte 31,Cicero,Cicero
Larceny,4100 block Route 31,Clay,Onondaga County
Larceny,6400 block Basile Rowe,East Syracuse,East Syracuse
Larceny,8300 block Route 31,Liverpool,Onondaga County
Larceny,4200 block Belmont Dr,Liverpool,Onondaga County
Larceny,300 block Brookfield Rd,Mattydale,Onondaga County
Larceny,2100 block E Fayette St,Syracuse,Syracuse
Larceny,600 block S Beech St,Syracuse,Syracuse
Larceny,200 block Comstock Av,Syracuse,Syracuse
Larceny,4900 block Macgregor Ln,Syracuse,Onondaga County
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Gifford St,Syracuse,Syracuse
Robbery,1100 block N Salina St,Syracuse,Syracuse
Robbery,100 block Alexander Av,Syracuse,Syracuse
Burglary,8100 block Gatewood Dr,Clay,Onondaga County
Burglary,100 block Meredith Av,Nedrow,Onondaga County
Burglary,9400 block Oswego Rd,Phoenix,Onondaga County
Burglary,700 block Fourth St,Syracuse,Solvay
Burglary,700 block Euclid Av,Syracuse,Syracuse
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,8000 block Brewerton Rd,Cicero,Cicero
Larceny,8000 block Brewerton Rd,Cicero,Cicero
Larceny,7900 block Brewerton Rd,Cicero,Onondaga County
Larceny,5800 block E Circle Dr,Cicero,Cicero
Larceny,5800 block E Circle Dr,Cicero,Cicero
Larceny,0 block Chevy Dr,East Syracuse,East Syracuse
Larceny,5100 block Highbridge St,Fayetteville,Manlius
Larceny,8700 block Dell Center Dr,Liverpool,Onondaga County
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,300 block Elm St,Syracuse,Syracuse
Larceny,5100 block Ball Rd,Syracuse,Onondaga County
Larceny,300 block Seymour St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,500 block Wolf St,Syracuse,Syracuse
Larceny,4100 block E Genesee St,Syracuse,Syracuse
Larceny,400 block Irving Av,Syracuse,Syracuse
Larceny,800 block Lancaster Av,Syracuse,Syracuse
Larceny,400 block Pleasantview Av,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,800 block Spencer St,Syracuse,Syracuse
Larceny,600 block Robinson St,Syracuse,Syracuse
Larceny,600 block Robinson St,Syracuse,Syracuse
Robbery,200 block Washington Sq,Syracuse,Syracuse
Robbery,100 block Lakeview Av,Syracuse,Syracuse
Vehicle theft,4100 block Bermond Ct,Liverpool,Onondaga County
Vehicle theft,100 block Riverdale Dr,Syracuse,Syracuse
Burglary,200 block E Colvin St,Syracuse,Syracuse
Burglary,100 block Newbury Hollow Ln,Syracuse,Syracuse
Burglary,1800 block S State St,Syracuse,Syracuse
Larceny,5300 block W Genesee St,Camillus,Onondaga County
Larceny,5800 block E Circle Dr,Cicero,Cicero
Larceny,4200 block James St,East Syracuse,DeWitt
Larceny,4600 block Southwood Heights Dr,Jamesville,Onondaga County
Larceny,0 block Clinton St,Jordan,Jordan
Larceny,8700 block Dell Center Dr,Liverpool,Onondaga County
Larceny,7400 block Coachlight Ln,Liverpool,Onondaga County
Larceny,7400 block Coachlight Ln,Liverpool,Onondaga County
Larceny,4300 block Freeport Cir,Marcellus,Onondaga County
Larceny,500 block Edgerton St,Minoa,Manlius
